RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
[-Inf;1.517335],[-Inf;14.065],(2.695; Inf],(1.42;1.78],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517335;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],[-Inf;2.695],(1.78; Inf],[-Inf; Inf],(0.745; Inf],(10.075; Inf],[-Inf;0.335],[-Inf; Inf],build wind non-float
[-Inf;1.517335],[-Inf;14.065],(2.695; Inf],(1.78; Inf],[-Inf; Inf],(0.055;0.745],(7.02;8.275],[-Inf;0.335],[-Inf; Inf],build wind non-float
[-Inf;1.517335],(14.065; Inf],[-Inf;2.695],[-Inf;1.42],[-Inf; Inf],[-Inf;0.055],[-Inf;7.02],[-Inf;0.335],[-Inf; Inf],tableware
(1.517335;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],vehic wind float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517875; Inf],(14.065; Inf],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],[-Inf;0.055],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],vehic wind float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
[-Inf;1.517335],[-Inf;14.065],(2.695; Inf],(1.78; Inf],[-Inf; Inf],(0.055;0.745],(7.02;8.275],[-Inf;0.335],[-Inf; Inf],build wind non-float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],headlamps
(1.517875; Inf],[-Inf;14.065],[-Inf;2.695],(1.42;1.78],[-Inf; Inf],(0.055;0.745],(10.075; Inf],[-Inf;0.335],[-Inf; Inf],containers
(1.517335;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],[-Inf;2.695],(1.42;1.78],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind non-float
[-Inf;1.517335],(14.065; Inf],[-Inf;2.695],(1.78; Inf],[-Inf; Inf],[-Inf;0.055],(8.275;10.075],(0.335; Inf],[-Inf; Inf],headlamps
[-Inf;1.517335],[-Inf;14.065],[-Inf;2.695],(1.78; Inf],[-Inf; Inf],(0.745; Inf],[-Inf;7.02],[-Inf;0.335],[-Inf; Inf],containers
(1.517335;1.517875],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
[-Inf;1.517335],[-Inf;14.065],[-Inf;2.695],(1.78; Inf],[-Inf; Inf],[-Inf;0.055],(8.275;10.075],(0.335; Inf],[-Inf; Inf],headlamps
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
(1.517875; Inf],[-Inf;14.065],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.275;10.075],[-Inf;0.335],[-Inf; Inf],build wind float
[-Inf;1.517335],[-Inf;14.065],(2.695; Inf],(1.42;1.78],[-Inf; Inf],(0.055;0.745],(7.02;8.275],[-Inf;0.335],[-Inf; Inf],build wind float
