RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
(1.517335;1.517985],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind non-float
(1.517985; Inf],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind non-float
[-Inf;1.517335],[-Inf;13.995],(2.695; Inf],(1.42;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.325],[-Inf;0.32],[-Inf; Inf],build wind non-float
(1.517335;1.517985],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind float
(1.517335;1.517985],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(7.02;8.325],[-Inf;0.32],[-Inf; Inf],build wind float
[-Inf;1.517335],[-Inf;13.995],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],(0.055;0.745],(8.325;10.075],(0.32; Inf],[-Inf; Inf],headlamps
(1.517335;1.517985],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind float
(1.517985; Inf],(13.995; Inf],[-Inf;2.695],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],(0.32; Inf],[-Inf; Inf],headlamps
(1.517985; Inf],[-Inf;13.995],[-Inf;2.695],(1.42;1.775],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind non-float
[-Inf;1.517335],(13.995; Inf],[-Inf;2.695],(1.775; Inf],[-Inf; Inf],(0.055;0.745],(8.325;10.075],(0.32; Inf],[-Inf; Inf],headlamps
(1.517985; Inf],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind float
[-Inf;1.517335],[-Inf;13.995],(2.695; Inf],(1.42;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.325],[-Inf;0.32],[-Inf; Inf],build wind non-float
(1.517985; Inf],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],(0.32; Inf],[-Inf; Inf],build wind float
[-Inf;1.517335],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],vehic wind float
(1.517985; Inf],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind non-float
(1.517985; Inf],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],build wind float
[-Inf;1.517335],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(7.02;8.325],[-Inf;0.32],[-Inf; Inf],build wind non-float
(1.517985; Inf],(13.995; Inf],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(7.02;8.325],[-Inf;0.32],[-Inf; Inf],build wind float
(1.517985; Inf],[-Inf;13.995],[-Inf;2.695],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(10.075; Inf],[-Inf;0.32],[-Inf; Inf],containers
[-Inf;1.517335],[-Inf;13.995],(2.695; Inf],(1.42;1.775],[-Inf; Inf],(0.055;0.745],(7.02;8.325],[-Inf;0.32],[-Inf; Inf],build wind non-float
[-Inf;1.517335],[-Inf;13.995],(2.695; Inf],[-Inf;1.42],[-Inf; Inf],(0.055;0.745],(7.02;8.325],[-Inf;0.32],[-Inf; Inf],vehic wind float
(1.517985; Inf],(13.995; Inf],[-Inf;2.695],(1.42;1.775],[-Inf; Inf],[-Inf;0.055],(8.325;10.075],[-Inf;0.32],[-Inf; Inf],tableware
