COMPACTNESS:=:(103.5; Inf],COMPACTNESS:=:(87.5;98.5],COMPACTNESS:=:(98.5;103.5],COMPACTNESS:=:[-Inf;87.5],CIRCULARITY:=:(40.5;49.5],CIRCULARITY:=:(49.5;54.5],CIRCULARITY:=:(54.5; Inf],CIRCULARITY:=:[-Inf;40.5],DISTANCE.CIRCULARITY:=:(64.5;76.5],DISTANCE.CIRCULARITY:=:(76.5;92.5],DISTANCE.CIRCULARITY:=:(92.5; Inf],DISTANCE.CIRCULARITY:=:[-Inf;64.5],RADIUS.RATIO:=:(167.5; Inf],RADIUS.RATIO:=:[-Inf;167.5],PR.AXIS.ASPECT.RATIO:=:(52.5;67.5],PR.AXIS.ASPECT.RATIO:=:(67.5; Inf],PR.AXIS.ASPECT.RATIO:=:[-Inf;52.5],MAX.LENGTH.ASPECT.RATIO:=:(17.5; Inf],MAX.LENGTH.ASPECT.RATIO:=:(7.5;8.5],MAX.LENGTH.ASPECT.RATIO:=:(8.5;17.5],MAX.LENGTH.ASPECT.RATIO:=:[-Inf;7.5],SCATTER.RATIO:=:(140.5;154.5],SCATTER.RATIO:=:(154.5;163.5],SCATTER.RATIO:=:(163.5;230.5],SCATTER.RATIO:=:(230.5; Inf],SCATTER.RATIO:=:[-Inf;140.5],ELONGATEDNESS:=:(29.5;41.5],ELONGATEDNESS:=:(41.5;46.5],ELONGATEDNESS:=:(46.5; Inf],ELONGATEDNESS:=:[-Inf;29.5],PR.AXIS.RECTANGULARITY:=:(18.5;19.5],PR.AXIS.RECTANGULARITY:=:(19.5;20.5],PR.AXIS.RECTANGULARITY:=:(20.5;25.5],PR.AXIS.RECTANGULARITY:=:(25.5; Inf],PR.AXIS.RECTANGULARITY:=:[-Inf;18.5],MAX.LENGTH.RECTANGULARITY:=:(135.5;147.5],MAX.LENGTH.RECTANGULARITY:=:(147.5;160.5],MAX.LENGTH.RECTANGULARITY:=:(160.5;172.5],MAX.LENGTH.RECTANGULARITY:=:(172.5; Inf],MAX.LENGTH.RECTANGULARITY:=:[-Inf;135.5],SCALED.VARIANCE_MAJOR:=:(162.5;180.5],SCALED.VARIANCE_MAJOR:=:(180.5;239],SCALED.VARIANCE_MAJOR:=:(239; Inf],SCALED.VARIANCE_MAJOR:=:[-Inf;162.5],SCALED.VARIANCE_MINOR:=:(298.5;344.5],SCALED.VARIANCE_MINOR:=:(344.5;389.5],SCALED.VARIANCE_MINOR:=:(389.5;629.5],SCALED.VARIANCE_MINOR:=:(629.5;721],SCALED.VARIANCE_MINOR:=:(721;761.5],SCALED.VARIANCE_MINOR:=:(761.5; Inf],SCALED.VARIANCE_MINOR:=:[-Inf;298.5],SCALED.RADIUS.OF.GYRATION:=:(170.5;192.5],SCALED.RADIUS.OF.GYRATION:=:(192.5;241.5],SCALED.RADIUS.OF.GYRATION:=:(241.5; Inf],SCALED.RADIUS.OF.GYRATION:=:[-Inf;170.5],SKEWNESS.ABOUT_MAJOR:=:(64.5;74.5],SKEWNESS.ABOUT_MAJOR:=:(74.5; Inf],SKEWNESS.ABOUT_MAJOR:=:[-Inf;64.5],SKEWNESS.ABOUT_MINOR:=:(10.5; Inf],SKEWNESS.ABOUT_MINOR:=:[-Inf;10.5],KURTOSIS.ABOUT_MAJOR:=:(19.5; Inf],KURTOSIS.ABOUT_MAJOR:=:[-Inf;19.5],KURTOSIS.ABOUT_MINOR:=:(181.5;185.5],KURTOSIS.ABOUT_MINOR:=:(185.5;191.5],KURTOSIS.ABOUT_MINOR:=:(191.5; Inf],KURTOSIS.ABOUT_MINOR:=:[-Inf;181.5],HOLLOWS.RATIO:=:(189.5; Inf],HOLLOWS.RATIO:=:[-Inf;189.5],Class:=:bus,Class:=:opel,Class:=:saab,Class:=:van
0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
